no.	filename	paramDef	type	printf	infoaddr	type2	varname	name	namej	namee	info	infoj	infoe
1	/home/synt/misc/data/dlc/paramdef/ItemLotParam.paramdef	ITEMLOT_PARAM_ST	s32	%d	0x00003778	s32	lotItemId01	 ff11 ff1a 30a2 30a4 30c6 30e0 0049 0044			 53d6 5f97 3067 304d 308b 30a2 30a4 30c6 30e0 306e 0049 0044		
2	/home/synt/misc/data/dlc/paramdef/ItemLotParam.paramdef	ITEMLOT_PARAM_ST	s32	%d	0x00003792	s32	lotItemId02	 ff12 ff1a 30a2 30a4 30c6 30e0 0049 0044			 53d6 5f97 3067 304d 308b 30a2 30a4 30c6 30e0 306e 0049 0044		
3	/home/synt/misc/data/dlc/paramdef/ItemLotParam.paramdef	ITEMLOT_PARAM_ST	s32	%d	0x000037AC	s32	lotItemId03	 ff13 ff1a 30a2 30a4 30c6 30e0 0049 0044			 53d6 5f97 3067 304d 308b 30a2 30a4 30c6 30e0 306e 0049 0044		
4	/home/synt/misc/data/dlc/paramdef/ItemLotParam.paramdef	ITEMLOT_PARAM_ST	s32	%d	0x000037C6	s32	lotItemId04	 ff14 ff1a 30a2 30a4 30c6 30e0 0049 0044			 53d6 5f97 3067 304d 308b 30a2 30a4 30c6 30e0 306e 0049 0044		
5	/home/synt/misc/data/dlc/paramdef/ItemLotParam.paramdef	ITEMLOT_PARAM_ST	s32	%d	0x000037E0	s32	lotItemId05	 ff15 ff1a 30a2 30a4 30c6 30e0 0049 0044			 53d6 5f97 3067 304d 308b 30a2 30a4 30c6 30e0 306e 0049 0044		
6	/home/synt/misc/data/dlc/paramdef/ItemLotParam.paramdef	ITEMLOT_PARAM_ST	s32	%d	0x000037FA	s32	lotItemId06	 ff16 ff1a 30a2 30a4 30c6 30e0 0049 0044			 53d6 5f97 3067 304d 308b 30a2 30a4 30c6 30e0 306e 0049 0044		
7	/home/synt/misc/data/dlc/paramdef/ItemLotParam.paramdef	ITEMLOT_PARAM_ST	s32	%d	0x00003814	s32	lotItemId07	 ff17 ff1a 30a2 30a4 30c6 30e0 0049 0044			 53d6 5f97 3067 304d 308b 30a2 30a4 30c6 30e0 306e 0049 0044		
8	/home/synt/misc/data/dlc/paramdef/ItemLotParam.paramdef	ITEMLOT_PARAM_ST	s32	%d	0x0000382E	s32	lotItemId08	 ff18 ff1a 30a2 30a4 30c6 30e0 0049 0044			 53d6 5f97 3067 304d 308b 30a2 30a4 30c6 30e0 306e 0049 0044		
9	/home/synt/misc/data/dlc/paramdef/ItemLotParam.paramdef	ITEMLOT_PARAM_ST	s32	%d	0x00003848	ITEMLOT_ITEMCATEGORY	lotItemCategory01	 ff11 ff1a 30a2 30a4 30c6 30e0 30ab 30c6 30b4 30ea			 53d6 5f97 3067 304d 308b 30a2 30a4 30c6 30e0 306e 30ab 30c6 30b4 30ea		
10	/home/synt/misc/data/dlc/paramdef/ItemLotParam.paramdef	ITEMLOT_PARAM_ST	s32	%d	0x00003866	ITEMLOT_ITEMCATEGORY	lotItemCategory02	 ff12 ff1a 30a2 30a4 30c6 30e0 30ab 30c6 30b4 30ea			 53d6 5f97 3067 304d 308b 30a2 30a4 30c6 30e0 306e 30ab 30c6 30b4 30ea		
11	/home/synt/misc/data/dlc/paramdef/ItemLotParam.paramdef	ITEMLOT_PARAM_ST	s32	%d	0x00003884	ITEMLOT_ITEMCATEGORY	lotItemCategory03	 ff13 ff1a 30a2 30a4 30c6 30e0 30ab 30c6 30b4 30ea			 53d6 5f97 3067 304d 308b 30a2 30a4 30c6 30e0 306e 30ab 30c6 30b4 30ea		
12	/home/synt/misc/data/dlc/paramdef/ItemLotParam.paramdef	ITEMLOT_PARAM_ST	s32	%d	0x000038A2	ITEMLOT_ITEMCATEGORY	lotItemCategory04	 ff14 ff1a 30a2 30a4 30c6 30e0 30ab 30c6 30b4 30ea			 53d6 5f97 3067 304d 308b 30a2 30a4 30c6 30e0 306e 30ab 30c6 30b4 30ea		
13	/home/synt/misc/data/dlc/paramdef/ItemLotParam.paramdef	ITEMLOT_PARAM_ST	s32	%d	0x000038C0	ITEMLOT_ITEMCATEGORY	lotItemCategory05	 ff15 ff1a 30a2 30a4 30c6 30e0 30ab 30c6 30b4 30ea			 53d6 5f97 3067 304d 308b 30a2 30a4 30c6 30e0 306e 30ab 30c6 30b4 30ea		
14	/home/synt/misc/data/dlc/paramdef/ItemLotParam.paramdef	ITEMLOT_PARAM_ST	s32	%d	0x000038DE	ITEMLOT_ITEMCATEGORY	lotItemCategory06	 ff16 ff1a 30a2 30a4 30c6 30e0 30ab 30c6 30b4 30ea			 53d6 5f97 3067 304d 308b 30a2 30a4 30c6 30e0 306e 30ab 30c6 30b4 30ea		
15	/home/synt/misc/data/dlc/paramdef/ItemLotParam.paramdef	ITEMLOT_PARAM_ST	s32	%d	0x000038FC	ITEMLOT_ITEMCATEGORY	lotItemCategory07	 ff17 ff1a 30a2 30a4 30c6 30e0 30ab 30c6 30b4 30ea			 53d6 5f97 3067 304d 308b 30a2 30a4 30c6 30e0 306e 30ab 30c6 30b4 30ea		
16	/home/synt/misc/data/dlc/paramdef/ItemLotParam.paramdef	ITEMLOT_PARAM_ST	s32	%d	0x0000391A	ITEMLOT_ITEMCATEGORY	lotItemCategory08	 ff18 ff1a 30a2 30a4 30c6 30e0 30ab 30c6 30b4 30ea			 53d6 5f97 3067 304d 308b 30a2 30a4 30c6 30e0 306e 30ab 30c6 30b4 30ea		
17	/home/synt/misc/data/dlc/paramdef/ItemLotParam.paramdef	ITEMLOT_PARAM_ST	u16	%d	0x00003938	u16	lotItemBasePoint01	 57fa 672c 51fa 73fe 30dd 30a4 30f3 30c8			 901a 5e38 6642 306e 51fa 73fe 30dd 30a4 30f3 30c8		
18	/home/synt/misc/data/dlc/paramdef/ItemLotParam.paramdef	ITEMLOT_PARAM_ST	u16	%d	0x0000394E	u16	lotItemBasePoint02	 57fa 672c 51fa 73fe 30dd 30a4 30f3 30c8			 901a 5e38 6642 306e 51fa 73fe 30dd 30a4 30f3 30c8		
19	/home/synt/misc/data/dlc/paramdef/ItemLotParam.paramdef	ITEMLOT_PARAM_ST	u16	%d	0x00003964	u16	lotItemBasePoint03	 57fa 672c 51fa 73fe 30dd 30a4 30f3 30c8			 901a 5e38 6642 306e 51fa 73fe 30dd 30a4 30f3 30c8		
20	/home/synt/misc/data/dlc/paramdef/ItemLotParam.paramdef	ITEMLOT_PARAM_ST	u16	%d	0x0000397A	u16	lotItemBasePoint04	 57fa 672c 51fa 73fe 30dd 30a4 30f3 30c8			 901a 5e38 6642 306e 51fa 73fe 30dd 30a4 30f3 30c8		
