110000	Inventory
110001	Equipment
110002	
110003	Status
110004	
110005	Option
110006	System
110007	Brightness
111010	捨てる
111011	並び順の変更
111012	並び順の初期化
111013	使用する
112000	防具
112001	兜
112002	鎧
112003	手甲
112004	足甲
112005	
112006	
112007	
112008	
112009	
112010	武器
112011	右手武器
112012	左手武器
112013	矢
112014	ボルト
112015	
112016	
112017	
112018	
112019	
112020	指輪
112021	
112022	
112023	
112024	
112025	
112026	
112027	
112028	
112029	
112030	使用アイテム
114000	操作
114001	
114002	カメラ左右操作
114003	カメラ上下操作
114004	カメラ回転速度
114005	
114006	コントローラ振動
114007	ロックオン自動切替
114008	カメラの壁自動回避
114100	表示
114101	流血表現
114102	字幕表示
114103	輝度調整
114104	HUD表示
114105	
114106	
114107	
114108	
114109	
114110	炎だけが見えて、竜は見えないように
114111	輝度を調整してください
114200	サウンド
114201	
114202	BGM
114203	SE
114204	ボイス
114250	<?platmsg@10005?>
114251	ランキング登録
114300	初期化
114301	決定
114400	ON
114401	OFF
114402	
114403	
114404	ノーマル
114405	リバース
114406	
114407	Mild
115000	環境設定
115001	
115002	ゲームの終了
115003	
115004	輝度調整
115005	
127000	前を指差す  
127001	上を指差す  
127002	下を指差す
127003	拍手
127004	呆れる
127005	呆れる
127006	呆れる
127007	呆れる
127008	呆れる
127009	呆れる
127010	呆れる
127011	呆れる
127012	呆れる
127013	呆れる
127014	呆れる
127200	ジェスチャー
130000	地図
130100	B1F
130101	B2F
130102	B3F
141000	霊体を元の世界に送還します
141001	<?conclusion?>：OK　<?cancel?>：CANCEL
