infoStartAddr:	0x57E8
numEntries:	0x37	55
title:	WIND_PARAM_ST
paramStartAddr:	0x00000568
entryID   	paramAddr 	infoAddr  	commonCapsuleBeginDmyId	commonCapsuleEndDmyId	commonCapsuleRadius	commonReserve[120]	sfxWindEnable:1	sfxIgnorePlayerSfx:1	sfxIsCollision:1	sfxPad_0[3]	sfxDirPitchMin	sfxDirPitchMax	sfxDirYawMin	sfxDirYawMax	sfxCycleMin	sfxCycleMax	sfxSpeedMin	sfxSpeedMax	sfxMaximumDrag	sfxReserve[88]	clothWindEnable:1	clothVertexWind:1	clothPad_0[3]	clothDirPitchMin	clothDirPitchMax	clothDirYawMin	clothDirYawMax	clothCycleMin	clothCycleMax	clothSpeedMin	clothSpeedMax	clothMaximumDrag	clothReserve[88]
0x00000000	0x00000568	0x000057E8	0	0	1.0		1	0	0		0.0	0.0	0.0	0.0	1.000	1.000	1.0	1.0	1.0		0	0		0.0	0.0	0.0	0.0	0.1	0.1	0.0	0.0	0.0		 30c6 30b9 30c8 7528
0x0000000A	0x000006E8	0x000057F2	0	0	1.0		1	0	0		-15.0	15.0	-15.0	15.0	0.010	0.050	0.1	0.1	1.0		1	0		-15.0	15.0	-15.0	15.0	6.0	15.0	1.2	2.5	5.0		 6c4e 7528 74b0 5883 98a8 ff08 5f31 ff09
0x0000000B	0x00000868	0x00005804	0	0	1.0		1	0	0		-20.0	20.0	-20.0	20.0	0.050	0.050	0.3	0.7	1.0		1	0		-20.0	20.0	-20.0	20.0	3.0	8.0	5.0	10.0	5.0		 6c4e 7528 74b0 5883 98a8 ff08 4e2d ff09
0x0000000C	0x000009E8	0x00005816	0	0	1.0		1	0	0		-30.0	30.0	-30.0	30.0	0.050	0.050	0.3	2.3	1.0		1	0		-30.0	30.0	-30.0	30.0	2.0	6.0	10.0	20.0	5.0		 6c4e 7528 74b0 5883 98a8 ff08 5f37 ff09
0x0000C350	0x00000B68	0x00005828	0	0	1.0		1	0	0		-15.0	15.0	-15.0	15.0	0.010	0.010	0.2	0.2	1.0		1	0		-15.0	15.0	-15.0	15.0	6.0	15.0	5.0	5.0	10.0		 6c4e 7528 30ef 30f3 30b7 30e7 30c3 30c8 98a8 ff08 5f31 ff09
0x0000C351	0x00000CE8	0x00005842	0	0	1.0		1	0	0		-20.0	20.0	-20.0	20.0	0.050	0.050	0.7	0.7	1.0		1	0		-20.0	20.0	-20.0	20.0	3.0	8.0	10.0	10.0	10.0		 6c4e 7528 30ef 30f3 30b7 30e7 30c3 30c8 98a8 ff08 4e2d ff09
0x0000C352	0x00000E68	0x0000585C	0	0	1.0		1	0	0		-30.0	30.0	-30.0	30.0	0.050	0.050	2.3	2.3	1.0		1	0		-30.0	30.0	-30.0	30.0	2.0	6.0	20.0	20.0	10.0		 6c4e 7528 30ef 30f3 30b7 30e7 30c3 30c8 98a8 ff08 5f37 ff09
0x072894A0	0x00000FE8	0x00005876	0	0	1.0		1	0	0		-15.0	15.0	-15.0	15.0	0.010	0.010	0.1	0.2	1.0		1	0		-15.0	15.0	-15.0	15.0	6.0	15.0	2.5	5.0	10.0		 006d 0032 0030 005f 0030 0031 30b9 30bf 30fc 30c8 90e8 ff08 6249 004f 0050 0045 004e 5f8c ff09
0x072894A1	0x00001168	0x0000589E	0	0	1.0		1	0	0		40.0	80.0	25.0	65.0	0.050	0.050	0.3	0.7	1.0		1	0		40.0	80.0	25.0	65.0	3.0	8.0	5.0	10.0	10.0		 006d 0032 0030 005f 0030 0031 30b9 30bf 30fc 30c8 90e8 5c4b ff5e 5927 6a4b
0x072894A2	0x000012E8	0x000058BE	0	0	1.0		1	0	0		15.0	75.0	30.0	90.0	0.050	0.050	1.0	4.0	1.0		1	0		15.0	75.0	30.0	90.0	2.0	6.0	10.0	20.0	10.0		 006d 0032 0030 005f 0030 0031 5927 6a4b
