infoStartAddr:	0x5C908
numEntries:	0x492	1170
title:	CHARACTER_INIT_PARAM
paramStartAddr:	0x00006DF0
entryID   	paramAddr 	infoAddr  	baseRec_mp	baseRec_sp	red_Falldam	soul	equip_Wep_Right	equip_Subwep_Right	equip_Wep_Left	equip_Subwep_Left	equip_Helm	equip_Armer	equip_Gaunt	equip_Leg	equip_Arrow	equip_Bolt	equip_SubArrow	equip_SubBolt	equip_Accessory01	equip_Accessory02	equip_Accessory03	equip_Accessory04	equip_Accessory05	equip_Skill_01	equip_Skill_02	equip_Skill_03	equip_Spell_01	equip_Spell_02	equip_Spell_03	equip_Spell_04	equip_Spell_05	equip_Spell_06	equip_Spell_07	item_01	item_02	item_03	item_04	item_05	item_06	item_07	item_08	item_09	item_10	npcPlayerFaceGenId	npcPlayerThinkId	baseHp	baseMp	baseSp	arrowNum	boltNum	subArrowNum	subBoltNum	QWC_sb	QWC_mw	QWC_cd	soulLv	baseVit	baseWil	baseEnd	baseStr	baseDex	baseMag	baseFai	baseLuc	baseHeroPoint	baseDurability	itemNum_01	itemNum_02	itemNum_03	itemNum_04	itemNum_05	itemNum_06	itemNum_07	itemNum_08	itemNum_09	itemNum_10	bodyScaleHead	bodyScaleBreast	bodyScaleAbdomen	bodyScaleArm	bodyScaleLeg	gestureId0	gestureId1	gestureId2	gestureId3	gestureId4	gestureId5	gestureId6	npcPlayerType	npcPlayerDrawType	npcPlayerSex	vowType:4	pad:4	voiceType	pad0[1]	equip_Wep_Right_GenId	equip_Subwep_Right_GenId	equip_Wep_Left_GenId	equip_Subwep_Left_GenId	equip_Helm_GenId	equip_Armer_GenId	equip_Gaunt_GenId	equip_Leg_GenId	equip_Wep_Body_GenId	secondaryItem_01	secondaryItem_02	secondaryItem_03	secondaryItem_04	secondaryItem_05	secondaryItem_06	secondaryItemNum_01	secondaryItemNum_02	secondaryItemNum_03	secondaryItemNum_04	secondaryItemNum_05	secondaryItemNum_06	pad1[2]
0x0000000F	0x00006DF0	0x0005C908	0.000000	0.000000	0.000000	50000	-1	-1	-1	-1	10000	11000	12000	13000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1000	-1	900	-1	-1	-1	-1	-1	-1	-1	100	0	0	0	0	0	0	0	0	0	0	0	0	11	12	20	50	50	50	99	5	0	11	30	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	3	0	0	0	1	0		0	128	2000000	7000000	6000000	20100000	-1	-1	-1	-1	1000	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	 0031 0035 005f 30cf 30f3 30bf 30fc 005f 65e5 672c 5200 3000 30ae 30df 30c3 30af 30ca 30bf 3000 9283 3000 305f 3060 306e 677e 660e
0x00000010	0x00006F1C	0x0005C93E	0.000000	0.000000	0.000000	50000	-1	-1	-1	-1	10000	11000	12000	13000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1000	-1	900	-1	-1	-1	-1	-1	-1	-1	100	0	0	0	0	0	0	0	0	0	0	0	0	11	12	20	50	50	50	99	5	0	11	30	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	3	0	0	0	1	0		0	128	2000000	7000000	6000000	20000000	-1	-1	-1	-1	1000	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	 0031 0036 005f 30cf 30f3 30bf 30fc 005f 65e5 672c 5200 3000 30ae 30df 30c3 30af 30ca 30bf 3000 9283 3000 677e 660e
0x00000011	0x00007048	0x0005C96E	0.000000	0.000000	0.000000	50000	-1	-1	-1	-1	10000	11000	12000	13000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1000	-1	900	-1	-1	-1	-1	-1	-1	-1	100	0	0	0	0	0	0	0	0	0	0	0	0	11	12	20	50	50	50	99	5	0	11	30	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	3	0	0	0	1	0		0	128	2000000	4000000	6000000	20000000	-1	-1	-1	-1	1000	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	 0031 0037 005f 30cf 30f3 30bf 30fc 005f 65e5 672c 5200 3000 53cc 5263 3000 9283 3000 677e 660e
0x00000012	0x00007174	0x0005C996	0.000000	0.000000	0.000000	50000	-1	-1	-1	-1	10000	11000	12000	13000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1000	-1	900	-1	-1	-1	-1	-1	-1	-1	100	0	0	0	0	0	0	0	0	0	0	0	0	11	12	20	50	50	50	99	5	0	11	30	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	3	0	0	0	1	0		0	160	8100000	5000000	6000000	20000000	-1	-1	-1	-1	1000	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	 0031 0038 005f 30cf 30f3 30bf 30fc 005f 5263 5927 5263 3000 65a7 7aff 3000 9283 3000 677e 660e
0x00000013	0x000072A0	0x0005C9BE	0.000000	0.000000	0.000000	50000	-1	-1	-1	-1	10000	11000	12000	13000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1000	-1	900	-1	-1	-1	-1	-1	-1	-1	100	0	0	0	0	0	0	0	0	0	0	0	0	11	12	20	50	50	50	99	5	0	11	30	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	3	0	0	0	1	0		0	0	8000000	9000000	6000000	20000000	-1	-1	-1	-1	1000	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	 0031 0039 005f 30cf 30f3 30bf 30fc 005f 5263 5927 69cc 3000 62f3 7363 3000 9283 3000 677e 660e
0x00000014	0x000073CC	0x0005C9E6	0.000000	0.000000	0.000000	50000	-1	-1	-1	-1	10000	11000	12000	13000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1000	-1	900	-1	-1	-1	-1	-1	-1	-1	100	0	0	0	0	0	0	0	0	0	0	0	0	11	12	20	50	50	50	99	5	0	11	30	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	3	0	0	0	1	0		0	128	10000000	11000000	6000000	20000000	-1	-1	-1	-1	1000	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	 0032 0030 005f 30cf 30f3 30bf 30fc 005f 9283 69cd 3000 30d1 30a4 30eb 3000 9577 9283 3000 677e 660e
0x00000015	0x000074F8	0x0005CA10	0.000000	0.000000	0.000000	50000	-1	-1	-1	-1	10000	11000	12000	13000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1000	-1	900	-1	-1	-1	-1	-1	-1	-1	100	0	0	0	0	0	0	0	0	0	0	0	0	11	12	20	50	50	50	99	5	0	11	30	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	3	0	0	0	1	0		0	0	12000000	11000000	6000000	20000000	-1	-1	-1	-1	1000	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	 0032 0031 005f 30cf 30f3 30bf 30fc 005f 8eca 8f2a 3000 30d1 30a4 30eb 3000 9577 9283 3000 677e 660e
0x00000016	0x00007624	0x0005CA3A	0.000000	0.000000	0.000000	50000	-1	-1	-1	-1	10000	11000	12000	13000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1000	-1	900	-1	-1	-1	-1	-1	-1	-1	100	0	0	0	0	0	0	0	0	0	0	0	0	11	12	20	50	50	50	99	5	0	11	30	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	3	0	0	0	1	0		0	192	7000000	12000000	14000000	15000000	-1	-1	-1	-1	1000	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	 0032 0032 005f 30cf 30f3 30bf 30fc 005f 30ce 30b3 30ca 30bf 3000 8eca 8f2a 3000 77ed 9283 3000 5927 7b52
0x00000017	0x00007750	0x0005CA66	0.000000	0.000000	0.000000	50000	-1	-1	-1	-1	10000	11000	12000	13000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1000	-1	900	-1	-1	-1	-1	-1	-1	-1	100	0	0	0	0	0	0	0	0	0	0	0	0	11	12	20	50	50	50	99	5	0	11	30	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	3	0	0	0	1	0		0	64	1000000	13000000	1000000	14000000	-1	-1	-1	-1	1000	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	 0032 0033 005f 30cf 30f3 30bf 30fc 005f 7d20 624b 3000 7206 69cc 3000 7d20 624b 3000 77ed 9283
0x00000019	0x0000787C	0x0005CA8E	0.000000	0.000000	0.000000	50000	-1	-1	-1	-1	10000	11000	12000	13000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1000	-1	900	-1	-1	-1	-1	-1	-1	-1	100	0	0	0	0	0	0	0	0	0	0	0	0	11	12	20	50	50	50	99	5	0	11	30	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	3	0	0	0	1	0		0	224	5100000	7100000	17000000	6000000	-1	-1	-1	-1	1000	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	 0032 0035 005f 30cf 30f3 30bf 30fc 005f 5263 938c 3000 30ce 30b3 69cd 3000 89e6 5a92 3000 9577 9283
