1	OK
2	
3	
4	
5	
6	
7	
8	
18300	
41000	
45000	
45001	
45100	
45101	
45102	
45103	
45104	
45105	
45106	
45107	
45108	
45109	
45110	
45111	
45112	
45113	
45114	
45115	
45116	
45117	
45118	
45119	
45120	
45121	
45122	
45200	
45201	
45250	
45400	
47000	
47100	
47101	
47102	
47103	
47104	
47105	
47106	
47107	
47108	
47109	
47110	
47111	
47112	
47113	
47114	
47115	
47116	
47117	
47118	
47119	
47120	
47121	
48000	
50001	
50002	
50501	
50502	
50503	
50504	
50505	
50506	
50507	
50520	
50521	
50522	
50523	
50524	
50525	
51100	
65400	
65401	
65402	
65403	
65404	
65405	
65406	
65407	
65408	
65409	
65410	
65411	
65412	
65413	
70000	
20001000	Lost connection to session.
20001001	Leaving session due to\nnetwork instability.
20001002	
20001003	
20001004	
20001005	
20001006	
20001007	
20001008	
20001009	
20001010	
20001011	
20001012	
20001013	
20001014	
20001015	
